CC1,-CC1,CC2,-CC2,M4G,-M4G,CCL,-CCL,CCX,-CCX,CC2 (Transfer),-CC2T,M4G (Transfer),-M4GT,CC1 & CC2 & M4G,-CC1CC2M4G
Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM
2,18,3,16,,,,,,,,,,,2,18
8,26,4,20,,,,,,,,,,,8,26
11,34,7,26,,,,,,,,,,,11,34
15,37,15,44,,,,,,,,,,,15,37
18,42,17,32,,,,,,,,,,,18,42
21,42,18,28,,,,,,,,,,,21,42
28,46,21,37,,,,,,,,,,,28,46
35,52,22,41,,,,,,,,,,,35,52
37,54,23,40,,,,,,,,,,,37,54
42,59,24,45,,,,,,,,,,,42,59
49,59,30,47,,,,,,,,,,,49,59
53,60,36,28,,,,,,,,,,,53,60
56,60,46,59,,,,,,,,,,,56,60
59,65,50,62,,,,,,,,,,,59,65
64,65,64,70,,,,,,,,,,,64,65
71,65,77,76,,,,,,,,,,,71,65
78,66,6,18,,,,,,,,,,,78,66
79,70,8,18,,,,,,,,,,,79,70
86,70,9,20,,,,,,,,,,,86,70
93,85,10,25,,,,,,,,,,,93,85
100,89,11,21,,,,,,,,,,,100,89
107,103,13,23,,,,,,,,,,,107,103
114,103,16,26,,,,,,,,,,,114,103
121,116,17,27,,,,,,,,,,,121,116
129,130,18,28,,,,,,,,,,,129,130
1,21,21,30,,,,,,,,,,,1,21
2,32,22,25,,,,,,,,,,,2,32
4,32,29,36,,,,,,,,,,,4,32
6,34,38,40,,,,,,,,,,,6,34
8,35,122,35,,,,,,,,,,,8,35
24,83,123,50,,,,,,,,,,,24,83
114,90,124,58,,,,,,,,,,,114,90
1,3,160,43,,,,,,,,,,,1,3
3,6,176,35,,,,,,,,,,,3,6
4,9,250,31,,,,,,,,,,,4,9
5,8,283,40,,,,,,,,,,,5,8
8,10,292,56,,,,,,,,,,,8,10
19,10,301,46,,,,,,,,,,,19,10
26,12,305,43,,,,,,,,,,,26,12
27,11,307,47,,,,,,,,,,,27,11
30,10,308,64,,,,,,,,,,,30,10
32,12,309,46,,,,,,,,,,,32,12
34,4,310,47,,,,,,,,,,,34,4
83,9,314,49,,,,,,,,,,,83,9
84,7,315,49,,,,,,,,,,,84,7
85,8,339,51,,,,,,,,,,,85,8
87,7,340,50,,,,,,,,,,,87,7
88,17,370,70,,,,,,,,,,,88,17
11,25,453,59,,,,,,,,,,,11,25
19,40,2,15,,,,,,,,,,,19,40
31,48,10,22,,,,,,,,,,,31,48
43,52,26,27,,,,,,,,,,,43,52
49,57,29,30,,,,,,,,,,,49,57
78,67,30,40,,,,,,,,,,,78,67
95,70,45,34,,,,,,,,,,,95,70
61,41,1,14,,,,,,,,,,,61,41
70,45,2,20,,,,,,,,,,,70,45
87,35,3,12,,,,,,,,,,,87,35
90,40,5,12,,,,,,,,,,,90,40
91,44,6,27,,,,,,,,,,,91,44
